scheduler_mode,flow_id,source_ip,source_port,dest_ip,dest_port,protocol,tx_packets,tx_bytes,tx_offered_mbps,rx_packets,rx_bytes,throughput_mbps,mean_delay_ms,mean_jitter_ms,loss_ratio
rr,1,1.0.0.2,49153,7.0.0.2,1234,UDP,348,1053744,0.280998,348,1053744,0.280998,3.02383,0.125,0
rr,2,1.0.0.2,49154,7.0.0.2,1235,UDP,348,1053744,0.280998,348,1053744,0.280998,3.52383,0.125,0
rr,3,1.0.0.2,49155,7.0.0.2,1236,UDP,348,1053744,0.280998,348,1053744,0.280998,10.9405,7.57567,0
rr,4,1.0.0.2,49156,7.0.0.2,1237,UDP,348,1053744,0.280998,348,1053744,0.280998,24.6,0.90182,0
rr,5,1.0.0.2,49157,7.0.0.3,1238,UDP,348,1053744,0.280998,348,1053744,0.280998,3.02383,0.125,0
rr,6,1.0.0.2,49158,7.0.0.3,1239,UDP,348,1053744,0.280998,348,1053744,0.280998,3.52383,0.125,0
rr,7,1.0.0.2,49159,7.0.0.3,1240,UDP,348,1053744,0.280998,348,1053744,0.280998,10.9247,7.68774,0
rr,8,1.0.0.2,49160,7.0.0.3,1241,UDP,348,1053744,0.280998,348,1053744,0.280998,24.6,0.90182,0
rr,9,1.0.0.2,49161,7.0.0.4,1242,UDP,348,1053744,0.280998,348,1053744,0.280998,4.50371,2.43056,0
rr,10,1.0.0.2,49162,7.0.0.4,1243,UDP,348,1053744,0.280998,348,1053744,0.280998,5.39021,2.62404,0
rr,11,1.0.0.2,49163,7.0.0.4,1244,UDP,348,1053744,0.280998,348,1053744,0.280998,8.36147,3.94349,0
rr,12,1.0.0.2,49164,7.0.0.4,1245,UDP,348,1053744,0.280998,348,1053744,0.280998,19.5454,3.91715,0
rr,13,1.0.0.2,49165,7.0.0.5,1246,UDP,348,1053744,0.280998,348,1053744,0.280998,3.02383,0.125,0
rr,14,1.0.0.2,49166,7.0.0.5,1247,UDP,348,1053744,0.280998,348,1053744,0.280998,3.52383,0.125,0
rr,15,1.0.0.2,49167,7.0.0.5,1248,UDP,348,1053744,0.280998,348,1053744,0.280998,10.906,7.72605,0
rr,16,1.0.0.2,49168,7.0.0.5,1249,UDP,348,1053744,0.280998,348,1053744,0.280998,24.6,0.90182,0
rr,17,1.0.0.2,49169,7.0.0.6,1250,UDP,348,1053744,0.280998,348,1053744,0.280998,3.02383,0.125,0
rr,18,1.0.0.2,49170,7.0.0.6,1251,UDP,348,1053744,0.280998,348,1053744,0.280998,3.52383,0.125,0
rr,19,1.0.0.2,49171,7.0.0.6,1252,UDP,348,1053744,0.280998,348,1053744,0.280998,10.7523,7.66379,0
rr,20,1.0.0.2,49172,7.0.0.6,1253,UDP,348,1053744,0.280998,348,1053744,0.280998,24.6,0.90182,0
rr,21,1.0.0.2,49173,7.0.0.7,1254,UDP,348,1053744,0.280998,348,1053744,0.280998,6.36865,5.25527,0
rr,22,1.0.0.2,49174,7.0.0.7,1255,UDP,348,1053744,0.280998,348,1053744,0.280998,7.11291,5.42481,0
rr,23,1.0.0.2,49175,7.0.0.7,1256,UDP,348,1053744,0.280998,345,1044660,0.278576,12.4671,7.83043,0.00862069
rr,24,1.0.0.2,49176,7.0.0.7,1257,UDP,348,1053744,0.280998,345,1044660,0.278576,19.6686,6.08841,0.00862069
rr,25,1.0.0.2,49177,7.0.0.8,1258,UDP,348,1053744,0.280998,347,1050716,0.280191,8.06107,3.22334,0.00287356
rr,26,1.0.0.2,49178,7.0.0.8,1259,UDP,348,1053744,0.280998,348,1053744,0.280998,9.53532,3.62308,0
rr,27,1.0.0.2,49179,7.0.0.8,1260,UDP,348,1053744,0.280998,348,1053744,0.280998,10.7882,3.92002,0
rr,28,1.0.0.2,49180,7.0.0.8,1261,UDP,348,1053744,0.280998,348,1053744,0.280998,18.3643,2.94061,0
rr,29,1.0.0.2,49181,7.0.0.9,1262,UDP,348,1053744,0.280998,348,1053744,0.280998,9.43331,2.4933,0
rr,30,1.0.0.2,49182,7.0.0.9,1263,UDP,348,1053744,0.280998,348,1053744,0.280998,10.4764,2.19013,0
rr,31,1.0.0.2,49183,7.0.0.9,1264,UDP,348,1053744,0.280998,348,1053744,0.280998,14.2939,6.26341,0
rr,32,1.0.0.2,49184,7.0.0.9,1265,UDP,348,1053744,0.280998,348,1053744,0.280998,23.0842,2.61638,0
rr,33,1.0.0.2,49185,7.0.0.10,1266,UDP,348,1053744,0.280998,348,1053744,0.280998,9.02957,5.59291,0
rr,34,1.0.0.2,49186,7.0.0.10,1267,UDP,348,1053744,0.280998,348,1053744,0.280998,9.8859,5.51341,0
rr,35,1.0.0.2,49187,7.0.0.10,1268,UDP,348,1053744,0.280998,348,1053744,0.280998,13.6,3.88697,0
rr,36,1.0.0.2,49188,7.0.0.10,1269,UDP,348,1053744,0.280998,348,1053744,0.280998,20.3385,5.68056,0
