time_s,beam_id,rnti,dl_mcs,buf_req,alloc_rbg
0.400500,[Sector: 0 elevation: 0.000000],9,0,12224,377
0.400500,[Sector: 0 elevation: 0.000000],8,0,12224,377
0.400500,[Sector: 0 elevation: 0.000000],7,0,12224,377
0.400500,[Sector: 0 elevation: 0.000000],6,0,12224,377
0.400500,[Sector: 0 elevation: 0.000000],5,0,12224,390
0.400500,[Sector: 0 elevation: 0.000000],4,0,12224,390
0.400500,[Sector: 0 elevation: 0.000000],3,0,12224,390
0.400500,[Sector: 0 elevation: 0.000000],2,0,12224,390
0.400500,[Sector: 0 elevation: 0.000000],1,0,12224,390
0.401500,[Sector: 0 elevation: 0.000000],9,0,12108,390
0.401500,[Sector: 0 elevation: 0.000000],8,0,12108,390
0.401500,[Sector: 0 elevation: 0.000000],7,0,12108,390
0.401500,[Sector: 0 elevation: 0.000000],6,0,12108,390
0.401500,[Sector: 0 elevation: 0.000000],5,0,12104,377
0.401500,[Sector: 0 elevation: 0.000000],4,0,12104,377
0.401500,[Sector: 0 elevation: 0.000000],3,0,12104,377
0.401500,[Sector: 0 elevation: 0.000000],2,0,12104,377
0.401500,[Sector: 0 elevation: 0.000000],1,0,12104,390
0.402000,[Sector: 0 elevation: 0.000000],9,0,11988,377
0.402000,[Sector: 0 elevation: 0.000000],8,0,11988,377
0.402000,[Sector: 0 elevation: 0.000000],7,0,11988,377
0.402000,[Sector: 0 elevation: 0.000000],6,0,11988,390
0.402000,[Sector: 0 elevation: 0.000000],5,0,11988,390
0.402000,[Sector: 0 elevation: 0.000000],4,0,11988,390
0.402000,[Sector: 0 elevation: 0.000000],3,0,11988,390
0.402000,[Sector: 0 elevation: 0.000000],2,0,11988,390
0.402000,[Sector: 0 elevation: 0.000000],1,0,11984,377
0.402500,[Sector: 0 elevation: 0.000000],9,0,11872,390
0.402500,[Sector: 0 elevation: 0.000000],8,0,11872,390
0.402500,[Sector: 0 elevation: 0.000000],7,0,11872,390
0.402500,[Sector: 0 elevation: 0.000000],6,0,11868,377
0.402500,[Sector: 0 elevation: 0.000000],5,0,11868,377
0.402500,[Sector: 0 elevation: 0.000000],4,0,11868,377
0.402500,[Sector: 0 elevation: 0.000000],3,0,11868,377
0.402500,[Sector: 0 elevation: 0.000000],2,0,11868,390
0.402500,[Sector: 0 elevation: 0.000000],1,0,11868,390
0.403000,[Sector: 0 elevation: 0.000000],9,0,11752,377
0.403000,[Sector: 0 elevation: 0.000000],8,0,11752,377
0.403000,[Sector: 0 elevation: 0.000000],7,0,11752,390
0.403000,[Sector: 0 elevation: 0.000000],6,0,11752,390
0.403000,[Sector: 0 elevation: 0.000000],5,0,11752,390
0.403000,[Sector: 0 elevation: 0.000000],4,0,11752,390
0.403000,[Sector: 0 elevation: 0.000000],3,0,11752,390
0.403000,[Sector: 0 elevation: 0.000000],2,0,11748,377
0.403000,[Sector: 0 elevation: 0.000000],1,0,11748,377
0.404000,[Sector: 0 elevation: 0.000000],9,0,11636,390
0.404000,[Sector: 0 elevation: 0.000000],8,0,11636,390
0.404000,[Sector: 0 elevation: 0.000000],7,0,11632,377
0.404000,[Sector: 0 elevation: 0.000000],6,0,11632,377
0.404000,[Sector: 0 elevation: 0.000000],5,0,11632,377
0.404000,[Sector: 0 elevation: 0.000000],4,0,11632,390
0.404000,[Sector: 0 elevation: 0.000000],3,0,11632,377
0.404000,[Sector: 0 elevation: 0.000000],2,0,11632,390
0.404000,[Sector: 0 elevation: 0.000000],1,0,11632,390
0.404500,[Sector: 0 elevation: 0.000000],9,0,11516,390
0.404500,[Sector: 0 elevation: 0.000000],8,0,11516,377
0.404500,[Sector: 0 elevation: 0.000000],7,0,11516,390
