time_s,beam_id,backlog_total_bytes,ues_com_backlog,ues_atendidos,starvation_real_pct,vazao_estimada_mbps,seed,scenario,bandwidth,bandwidth_mhz,mode,jain_backlog,jain_alocacao
0.4005,[Sector: 0 elevation: 0.000000],110016,9,9,0.0,248.02989119999998,1,dynamic_continuous_30s,bw100,100,rr,1.0,0.9997174183338985
0.4015,[Sector: 0 elevation: 0.000000],108952,9,9,0.0,248.02989119999998,1,dynamic_continuous_30s,bw100,100,rr,0.9999999730425038,0.9997174183338985
0.402,[Sector: 0 elevation: 0.000000],107888,9,9,0.0,248.02989119999998,1,dynamic_continuous_30s,bw100,100,rr,0.999999989003267,0.9997174183338985
0.4025,[Sector: 0 elevation: 0.000000],106824,9,9,0.0,248.02989119999998,1,dynamic_continuous_30s,bw100,100,rr,0.9999999747620076,0.9997174183338985
0.403,[Sector: 0 elevation: 0.000000],105760,9,9,0.0,248.02989119999998,1,dynamic_continuous_30s,bw100,100,rr,0.9999999799734968,0.9997174183338985
0.404,[Sector: 0 elevation: 0.000000],104696,9,9,0.0,248.02989119999998,1,dynamic_continuous_30s,bw100,100,rr,0.9999999795643795,0.9997174183338985
0.4045,[Sector: 0 elevation: 0.000000],103632,9,9,0.0,248.02989119999998,1,dynamic_continuous_30s,bw100,100,rr,0.9999999731833381,0.9997174183338985
0.405,[Sector: 0 elevation: 0.000000],102568,9,9,0.0,4613.230908,1,dynamic_continuous_30s,bw100,100,rr,0.9999999878329249,0.9997174183338985
0.4055,[Sector: 0 elevation: 0.000000],73522,9,9,0.0,4579.9855686,1,dynamic_continuous_30s,bw100,100,rr,0.9910035037533154,0.9997174183338985
0.4065,[Sector: 0 elevation: 0.000000],44633,9,9,0.0,4510.7043228,1,dynamic_continuous_30s,bw100,100,rr,0.9175400554493838,0.9939036381514258
0.407,[Sector: 0 elevation: 0.000000],16113,9,9,0.0,2385.0751392,1,dynamic_continuous_30s,bw100,100,rr,0.43448102585186743,0.4238520930321119
0.417,[Sector: 0 elevation: 0.000000],3560,8,8,0.0,625.8392478,1,dynamic_continuous_30s,bw100,100,rr,0.8363531160779146,0.786046511627907
0.6005,[Sector: 0 elevation: 0.000000],110016,9,9,0.0,5397.7008618,1,dynamic_continuous_30s,bw100,100,rr,1.0,0.9997174183338985
0.6015,[Sector: 0 elevation: 0.000000],77448,9,9,0.0,5385.393327599999,1,dynamic_continuous_30s,bw100,100,rr,0.9981333695149881,0.9997174183338985
0.602,[Sector: 0 elevation: 0.000000],44949,9,9,0.0,5401.8033732,1,dynamic_continuous_30s,bw100,100,rr,0.9829675228938113,0.9997174183338985
0.6025,[Sector: 0 elevation: 0.000000],12358,9,9,0.0,2151.370026,1,dynamic_continuous_30s,bw100,100,rr,0.6298311049823893,0.6287738315979651
0.615,[Sector: 0 elevation: 0.000000],19443,9,9,0.0,3293.5544694,1,dynamic_continuous_30s,bw100,100,rr,0.8135254478772278,0.8798212005108557
0.625,[Sector: 0 elevation: 0.000000],2760,5,5,0.0,543.67326,1,dynamic_continuous_30s,bw100,100,rr,0.5555555555555556,0.5555555555555556
0.8005,[Sector: 0 elevation: 0.000000],110016,9,9,0.0,5112.4746816,1,dynamic_continuous_30s,bw100,100,rr,1.0,0.9997174183338985
0.8015,[Sector: 0 elevation: 0.000000],78538,9,9,0.0,5137.9820154,1,dynamic_continuous_30s,bw100,100,rr,0.9939622255871621,0.9997174183338985
0.802,[Sector: 0 elevation: 0.000000],46935,9,9,0.0,5112.4746816,1,dynamic_continuous_30s,bw100,100,rr,0.9318217971607964,0.9997174183338985
0.8025,[Sector: 0 elevation: 0.000000],15457,9,9,0.0,2348.3892275999997,1,dynamic_continuous_30s,bw100,100,rr,0.4033995742702455,0.3332773532622386
0.803,[Sector: 0 elevation: 0.000000],10,1,1,0.0,9.5722614,1,dynamic_continuous_30s,bw100,100,rr,0.1111111111111111,0.1111111111111111
0.8125,[Sector: 0 elevation: 0.000000],20927,8,8,0.0,3578.27067,1,dynamic_continuous_30s,bw100,100,rr,0.8093128642912546,0.8318866517524236
0.813,[Sector: 0 elevation: 0.000000],3547,1,1,0.0,596.6081082,1,dynamic_continuous_30s,bw100,100,rr,0.1111111111111111,0.1111111111111111
0.8225,[Sector: 0 elevation: 0.000000],3312,6,6,0.0,654.1562430000001,1,dynamic_continuous_30s,bw100,100,rr,0.6666666666666666,0.6666666666666666
0.823,[Sector: 0 elevation: 0.000000],552,1,1,0.0,101.741328,1,dynamic_continuous_30s,bw100,100,rr,0.1111111111111111,0.1111111111111111
1.0005,[Sector: 0 elevation: 0.000000],110016,9,9,0.0,5651.467824599999,1,dynamic_continuous_30s,bw100,100,rr,1.0,0.9997174183338985
1.0015,[Sector: 0 elevation: 0.000000],76049,9,9,0.0,5651.467824599999,1,dynamic_continuous_30s,bw100,100,rr,0.9993322526784622,0.9997174183338985
1.002,[Sector: 0 elevation: 0.000000],42082,9,9,0.0,5655.570336,1,dynamic_continuous_30s,bw100,100,rr,0.9920283859194868,0.9997174183338985
1.0025,[Sector: 0 elevation: 0.000000],8092,9,9,0.0,1456.38558,1,dynamic_continuous_30s,bw100,100,rr,0.6434750013895345,0.6343612334801763
1.014,[Sector: 0 elevation: 0.000000],23736,9,9,0.0,4036.2824736,1,dynamic_continuous_30s,bw100,100,rr,0.9429283503774606,0.9782357027089604
1.024,[Sector: 0 elevation: 0.000000],3312,6,6,0.0,654.1562430000001,1,dynamic_continuous_30s,bw100,100,rr,0.6666666666666666,0.6666666666666666
1.2005,[Sector: 0 elevation: 0.000000],110016,9,9,0.0,5326.4393676,1,dynamic_continuous_30s,bw100,100,rr,1.0,0.9997174183338985
1.2015,[Sector: 0 elevation: 0.000000],77651,9,9,0.0,5332.29021,1,dynamic_continuous_30s,bw100,100,rr,0.9956619442019081,0.9997174183338985
1.202,[Sector: 0 elevation: 0.000000],45253,9,9,0.0,5338.9637028,1,dynamic_continuous_30s,bw100,100,rr,0.9498015103417834,0.9997174183338985
1.2025,[Sector: 0 elevation: 0.000000],12825,9,9,0.0,2067.0897311999997,1,dynamic_continuous_30s,bw100,100,rr,0.39821950219579766,0.29174991342337303
1.203,[Sector: 0 elevation: 0.000000],10,1,1,0.0,9.5722614,1,dynamic_continuous_30s,bw100,100,rr,0.1111111111111111,0.1111111111111111
1.214,[Sector: 0 elevation: 0.000000],25009,9,9,0.0,4256.8896239999995,1,dynamic_continuous_30s,bw100,100,rr,0.9444354787638481,0.9537133467564628
1.224,[Sector: 0 elevation: 0.000000],3864,7,7,0.0,753.3790992,1,dynamic_continuous_30s,bw100,100,rr,0.7777777777777778,0.7741935483870968
1.4005,[Sector: 0 elevation: 0.000000],110016,9,9,0.0,5267.828708999999,1,dynamic_continuous_30s,bw100,100,rr,1.0,0.9997174183338985
1.4015,[Sector: 0 elevation: 0.000000],77889,9,9,0.0,5261.977866599999,1,dynamic_continuous_30s,bw100,100,rr,0.9969019193860534,0.9997174183338985
1.402,[Sector: 0 elevation: 0.000000],45795,9,9,0.0,5279.0633766,1,dynamic_continuous_30s,bw100,100,rr,0.9677540203065929,0.9997174183338985
1.4025,[Sector: 0 elevation: 0.000000],13616,9,9,0.0,2192.7563424,1,dynamic_continuous_30s,bw100,100,rr,0.5240140436944585,0.4172551560306662
1.413,[Sector: 0 elevation: 0.000000],20415,9,9,0.0,3529.9252404,1,dynamic_continuous_30s,bw100,100,rr,0.8636078142478092,0.8830724233057466
1.414,[Sector: 0 elevation: 0.000000],10,1,1,0.0,20.348265599999998,1,dynamic_continuous_30s,bw100,100,rr,0.1111111111111111,0.1111111111111111
1.423,[Sector: 0 elevation: 0.000000],2208,4,4,0.0,441.9319320000001,1,dynamic_continuous_30s,bw100,100,rr,0.4444444444444444,0.4444444444444444
1.6005,[Sector: 0 elevation: 0.000000],110016,9,9,0.0,5720.3449056,1,dynamic_continuous_30s,bw100,100,rr,1.0,0.9997174183338985
1.6015,[Sector: 0 elevation: 0.000000],75673,9,9,0.0,5725.5898986,1,dynamic_continuous_30s,bw100,100,rr,0.9998225762807539,0.9997174183338985
1.602,[Sector: 0 elevation: 0.000000],41300,9,9,0.0,5720.3449056,1,dynamic_continuous_30s,bw100,100,rr,0.995983732342393,0.9997174183338985
1.6025,[Sector: 0 elevation: 0.000000],6957,9,9,0.0,1268.1008729999999,1,dynamic_continuous_30s,bw100,100,rr,0.795456290189671,0.823045267489712
1.6145,[Sector: 0 elevation: 0.000000],24903,9,9,0.0,4195.6697952,1,dynamic_continuous_30s,bw100,100,rr,0.9833731104615381,0.948051948051948
1.6245,[Sector: 0 elevation: 0.000000],3312,6,6,0.0,628.4484180000001,1,dynamic_continuous_30s,bw100,100,rr,0.6666666666666666,0.6538952745849298
1.8005,[Sector: 0 elevation: 0.000000],110016,9,9,0.0,5278.091949,1,dynamic_continuous_30s,bw100,100,rr,1.0,0.9997174183338985
1.8015,[Sector: 0 elevation: 0.000000],77928,9,9,0.0,5288.2621038,1,dynamic_continuous_30s,bw100,100,rr,0.995667764647061,0.9997174183338985
