time_s,beam_id,vazao_estimada_mbps,seed,scenario,bandwidth,bandwidth_mhz,mode
0.4005,[Sector: 0 elevation: 0.000000],248.02989119999998,1,dynamic_continuous_30s,bw100,100,rr
0.4015,[Sector: 0 elevation: 0.000000],248.02989119999998,1,dynamic_continuous_30s,bw100,100,rr
0.402,[Sector: 0 elevation: 0.000000],248.02989119999998,1,dynamic_continuous_30s,bw100,100,rr
0.4025,[Sector: 0 elevation: 0.000000],248.02989119999998,1,dynamic_continuous_30s,bw100,100,rr
0.403,[Sector: 0 elevation: 0.000000],248.02989119999998,1,dynamic_continuous_30s,bw100,100,rr
0.404,[Sector: 0 elevation: 0.000000],248.02989119999998,1,dynamic_continuous_30s,bw100,100,rr
0.4045,[Sector: 0 elevation: 0.000000],248.02989119999998,1,dynamic_continuous_30s,bw100,100,rr
0.405,[Sector: 0 elevation: 0.000000],4613.230908,1,dynamic_continuous_30s,bw100,100,rr
0.4055,[Sector: 0 elevation: 0.000000],4579.9855686,1,dynamic_continuous_30s,bw100,100,rr
0.4065,[Sector: 0 elevation: 0.000000],4510.7043228,1,dynamic_continuous_30s,bw100,100,rr
0.407,[Sector: 0 elevation: 0.000000],2385.0751392,1,dynamic_continuous_30s,bw100,100,rr
0.417,[Sector: 0 elevation: 0.000000],625.8392478,1,dynamic_continuous_30s,bw100,100,rr
0.6005,[Sector: 0 elevation: 0.000000],5397.7008618,1,dynamic_continuous_30s,bw100,100,rr
0.6015,[Sector: 0 elevation: 0.000000],5385.393327599999,1,dynamic_continuous_30s,bw100,100,rr
0.602,[Sector: 0 elevation: 0.000000],5401.8033732,1,dynamic_continuous_30s,bw100,100,rr
0.6025,[Sector: 0 elevation: 0.000000],2151.370026,1,dynamic_continuous_30s,bw100,100,rr
0.615,[Sector: 0 elevation: 0.000000],3293.5544694,1,dynamic_continuous_30s,bw100,100,rr
0.625,[Sector: 0 elevation: 0.000000],543.67326,1,dynamic_continuous_30s,bw100,100,rr
0.8005,[Sector: 0 elevation: 0.000000],5112.4746816,1,dynamic_continuous_30s,bw100,100,rr
0.8015,[Sector: 0 elevation: 0.000000],5137.9820154,1,dynamic_continuous_30s,bw100,100,rr
0.802,[Sector: 0 elevation: 0.000000],5112.4746816,1,dynamic_continuous_30s,bw100,100,rr
0.8025,[Sector: 0 elevation: 0.000000],2348.3892275999997,1,dynamic_continuous_30s,bw100,100,rr
0.803,[Sector: 0 elevation: 0.000000],9.5722614,1,dynamic_continuous_30s,bw100,100,rr
0.8125,[Sector: 0 elevation: 0.000000],3578.27067,1,dynamic_continuous_30s,bw100,100,rr
0.813,[Sector: 0 elevation: 0.000000],596.6081082,1,dynamic_continuous_30s,bw100,100,rr
0.8225,[Sector: 0 elevation: 0.000000],654.1562430000001,1,dynamic_continuous_30s,bw100,100,rr
0.823,[Sector: 0 elevation: 0.000000],101.741328,1,dynamic_continuous_30s,bw100,100,rr
1.0005,[Sector: 0 elevation: 0.000000],5651.467824599999,1,dynamic_continuous_30s,bw100,100,rr
1.0015,[Sector: 0 elevation: 0.000000],5651.467824599999,1,dynamic_continuous_30s,bw100,100,rr
1.002,[Sector: 0 elevation: 0.000000],5655.570336,1,dynamic_continuous_30s,bw100,100,rr
1.0025,[Sector: 0 elevation: 0.000000],1456.38558,1,dynamic_continuous_30s,bw100,100,rr
1.014,[Sector: 0 elevation: 0.000000],4036.2824736,1,dynamic_continuous_30s,bw100,100,rr
1.024,[Sector: 0 elevation: 0.000000],654.1562430000001,1,dynamic_continuous_30s,bw100,100,rr
1.2005,[Sector: 0 elevation: 0.000000],5326.4393676,1,dynamic_continuous_30s,bw100,100,rr
1.2015,[Sector: 0 elevation: 0.000000],5332.29021,1,dynamic_continuous_30s,bw100,100,rr
1.202,[Sector: 0 elevation: 0.000000],5338.9637028,1,dynamic_continuous_30s,bw100,100,rr
1.2025,[Sector: 0 elevation: 0.000000],2067.0897311999997,1,dynamic_continuous_30s,bw100,100,rr
1.203,[Sector: 0 elevation: 0.000000],9.5722614,1,dynamic_continuous_30s,bw100,100,rr
1.214,[Sector: 0 elevation: 0.000000],4256.8896239999995,1,dynamic_continuous_30s,bw100,100,rr
1.224,[Sector: 0 elevation: 0.000000],753.3790992,1,dynamic_continuous_30s,bw100,100,rr
1.4005,[Sector: 0 elevation: 0.000000],5267.828708999999,1,dynamic_continuous_30s,bw100,100,rr
1.4015,[Sector: 0 elevation: 0.000000],5261.977866599999,1,dynamic_continuous_30s,bw100,100,rr
1.402,[Sector: 0 elevation: 0.000000],5279.0633766,1,dynamic_continuous_30s,bw100,100,rr
1.4025,[Sector: 0 elevation: 0.000000],2192.7563424,1,dynamic_continuous_30s,bw100,100,rr
1.413,[Sector: 0 elevation: 0.000000],3529.9252404,1,dynamic_continuous_30s,bw100,100,rr
1.414,[Sector: 0 elevation: 0.000000],20.348265599999998,1,dynamic_continuous_30s,bw100,100,rr
1.423,[Sector: 0 elevation: 0.000000],441.9319320000001,1,dynamic_continuous_30s,bw100,100,rr
1.6005,[Sector: 0 elevation: 0.000000],5720.3449056,1,dynamic_continuous_30s,bw100,100,rr
1.6015,[Sector: 0 elevation: 0.000000],5725.5898986,1,dynamic_continuous_30s,bw100,100,rr
1.602,[Sector: 0 elevation: 0.000000],5720.3449056,1,dynamic_continuous_30s,bw100,100,rr
1.6025,[Sector: 0 elevation: 0.000000],1268.1008729999999,1,dynamic_continuous_30s,bw100,100,rr
1.6145,[Sector: 0 elevation: 0.000000],4195.6697952,1,dynamic_continuous_30s,bw100,100,rr
1.6245,[Sector: 0 elevation: 0.000000],628.4484180000001,1,dynamic_continuous_30s,bw100,100,rr
